       param  mean se_mean   sd 2.5%  25%  50%  75% 97.5% n_eff Rhat
sigma[39]     0.25    0.00 0.00 0.24 0.25 0.25 0.25  0.26  1000 1.00
sigma[40]     0.25    0.00 0.00 0.24 0.25 0.25 0.25  0.26  1000 1.00
sigma[41]     0.27    0.00 0.00 0.26 0.26 0.27 0.27  0.28  1000 1.00
sigma[42]     0.27    0.00 0.00 0.26 0.26 0.27 0.27  0.27  1000 1.00
sigma[43]     0.28    0.00 0.00 0.27 0.27 0.27 0.28  0.28  1000 1.00
sigma[44]     0.24    0.00 0.00 0.23 0.24 0.24 0.24  0.25  1000 1.00
sigma[45]     0.23    0.00 0.00 0.22 0.23 0.23 0.23  0.24  1000 1.00
sigma[46]     0.31    0.00 0.01 0.30 0.31 0.31 0.32  0.32  1000 1.00
sigma[47]     0.25    0.00 0.00 0.25 0.25 0.25 0.26  0.26  1000 1.00
sigma[48]     0.27    0.00 0.00 0.26 0.27 0.27 0.27  0.28  1000 1.00
sigma[49]     0.28    0.00 0.00 0.28 0.28 0.28 0.29  0.29  1000 1.00
sigma[50]     0.37    0.00 0.01 0.36 0.37 0.37 0.38  0.39  1000 1.00
sigma[51]     0.32    0.00 0.01 0.31 0.31 0.32 0.32  0.33  1000 1.00
sigma[52]     0.24    0.00 0.00 0.23 0.24 0.24 0.24  0.25  1000 1.00
sigma[53]     0.31    0.00 0.00 0.30 0.31 0.31 0.32  0.32  1000 1.00
