"","param","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","method","software"
"202","var_ratio[16]",4.28,0,0.14,4.02,4.18,4.27,4.38,4.56,1000,1,"long1","ANTs"
"203","var_ratio[17]",3.28,0,0.11,3.09,3.21,3.28,3.35,3.49,1000,1,"long1","ANTs"
"204","var_ratio[18]",2.95,0,0.09,2.77,2.89,2.96,3.02,3.14,1000,1,"long1","ANTs"
"205","var_ratio[19]",3.01,0,0.1,2.84,2.95,3.01,3.08,3.23,1000,1,"long1","ANTs"
"206","var_ratio[20]",3.37,0,0.11,3.16,3.29,3.36,3.44,3.6,1000,1,"long1","ANTs"
"207","var_ratio[21]",5,0.01,0.16,4.7,4.9,5,5.11,5.34,1000,1,"long1","ANTs"
"208","var_ratio[22]",3.47,0,0.12,3.25,3.39,3.46,3.54,3.7,1000,1,"long1","ANTs"
"209","var_ratio[23]",5.44,0.01,0.17,5.11,5.33,5.44,5.55,5.79,1000,1,"long1","ANTs"
"210","var_ratio[24]",3.26,0,0.11,3.06,3.18,3.25,3.33,3.48,1000,1,"long1","ANTs"
"211","var_ratio[25]",3.67,0,0.12,3.44,3.6,3.67,3.75,3.92,1000,1,"long1","ANTs"
"212","var_ratio[26]",3.58,0,0.12,3.36,3.5,3.57,3.65,3.83,1000,1,"long1","ANTs"
"213","var_ratio[27]",4.06,0,0.14,3.8,3.97,4.06,4.16,4.33,1000,1,"long1","ANTs"
"214","var_ratio[28]",4.69,0,0.15,4.4,4.57,4.7,4.79,4.98,1000,1,"long1","ANTs"
"215","var_ratio[29]",4.57,0,0.14,4.3,4.48,4.57,4.67,4.88,1000,1,"long1","ANTs"
"216","var_ratio[30]",2.8,0,0.1,2.62,2.73,2.79,2.87,3,1000,1,"long1","ANTs"
"217","var_ratio[31]",3.78,0,0.13,3.54,3.7,3.79,3.87,4.05,1000,1,"long1","ANTs"
"218","var_ratio[32]",4.38,0,0.14,4.12,4.29,4.38,4.48,4.68,1000,1,"long1","ANTs"
"219","var_ratio[33]",3.55,0,0.12,3.33,3.47,3.55,3.63,3.79,1000,1,"long1","ANTs"
"220","var_ratio[34]",2.99,0,0.1,2.79,2.91,2.99,3.05,3.2,1000,1,"long1","ANTs"
"221","var_ratio[35]",2.98,0,0.1,2.79,2.91,2.97,3.05,3.18,1000,1,"long1","ANTs"
